flyer,html_exists,pdf_exists,pdf_pages,page_width_pt,page_height_pt,a4_portrait,render_ok,html_a4,fixed_height_risk,absolute_footer_risk,qr_decoded_count,qr_values,auto_status,notes
flyer-bakery,True,True,1,595.28,841.89,True,True,True,True,True,2,https://lin.ee/YxJGXV6D | https://dpro-shop.com/,PASS,fixed-height+absolute-footer-risk
flyer-btype,True,True,1,594.96,841.92,True,True,True,True,True,3,https://lin.ee/YxJGXV6D | https://dpro-shop.com/ | https://dpromstk2000-lab.github.io/dpro-btype-line-liff/,PASS,fixed-height+absolute-footer-risk
flyer-buyback,True,True,1,594.96,841.92,True,True,True,True,True,2,https://dpro-shop.com/ | https://lin.ee/YxJGXV6D,PASS,fixed-height+absolute-footer-risk
flyer-cake,True,True,1,594.96,841.92,True,True,True,True,True,3,https://lin.ee/YxJGXV6D | https://dpro-shop.com/ | https://dpromstk2000-lab.github.io/dpro-cake-line-liff/index.html?demo=1&v=CAKE-16,PASS,fixed-height+absolute-footer-risk
flyer-car,True,True,1,594.96,841.92,True,True,True,True,True,2,https://lin.ee/YxJGXV6D | https://dpro-shop.com/,PASS,fixed-height+absolute-footer-risk
flyer-car-service,True,True,1,594.96,841.92,True,True,True,True,True,2,https://dpromstk2000-lab.github.io/line-shaken-liff/index-product-demo.html?v=step-ksh-next-10 | https://lin.ee/YxJGXV6D,PASS,fixed-height+absolute-footer-risk
flyer-careplan,True,True,1,595.28,841.89,True,True,True,True,True,3,https://lin.ee/YxJGXV6D | https://dpro-shop.com/ | https://dpromstk2000-lab.github.io/dpro-careplan-line/owner.html?v=CAREPLAN-10,PASS,fixed-height+absolute-footer-risk
flyer-caretaxi,True,True,1,594.96,841.92,True,True,True,True,True,2,https://dpro-shop.com/ | https://lin.ee/YxJGXV6D,PASS,fixed-height+absolute-footer-risk
flyer-chosashi,True,True,1,594.96,841.92,True,True,True,True,True,2,https://lin.ee/YxJGXV6D | https://dpro-shop.com/,PASS,fixed-height+absolute-footer-risk
flyer-cleaning,True,True,1,595.28,841.89,True,True,True,True,True,3,https://lin.ee/YxJGXV6D | https://dpro-shop.com/ | https://dpromstk2000-lab.github.io/dpro-cleaning-line-liff/demo-guide.html?v=cleaning-18,PASS,fixed-height+absolute-footer-risk
